game_id,agent_name,llm_name,noise_level,personality,cooperation_rate,predicted_strategy,prediction_confidence,nice,forgiving,retaliatory,troublemaking,emulative
Mistral-7B-Instruct-v0.3__noise00__game_3,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_3,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_0,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_0,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_2,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD,1.0,0,0.0,0.0,1.0,0.41379310344827586
Mistral-7B-Instruct-v0.3__noise00__game_2,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,0.5667,TFT,0.967010498046875,1,0.9411764705882353,0.3333333333333333,0.0,0.4482758620689655
Mistral-7B-Instruct-v0.3__noise00__game_1,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,0.9667,AllC,0.9999982118606567,1,0.9655172413793104,0.03571428571428571,0.0,0.034482758620689655
Mistral-7B-Instruct-v0.3__noise00__game_1,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|WSLS,1.0,0,0.0,0.0,1.0,0.034482758620689655
Mistral-7B-Instruct-v0.3__noise00__game_6,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD,1.0,0,0.0,0.0,1.0,0.1724137931034483
Mistral-7B-Instruct-v0.3__noise00__game_6,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,0.8333,AllC,0.9986419081687927,1,0.96,0.125,0.0,0.1724137931034483
Mistral-7B-Instruct-v0.3__noise00__game_4,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,1.0,0.0,0.0,0.9655172413793104
Mistral-7B-Instruct-v0.3__noise00__game_4,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,0.9667,TFT|WSLS,1.0,0,0.0,0.0,0.03333333333333333,0.9655172413793104
Mistral-7B-Instruct-v0.3__noise00__game_7,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_7,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_5,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,0.9667,AllC,0.9999982118606567,1,0.9655172413793104,0.03571428571428571,0.0,0.034482758620689655
Mistral-7B-Instruct-v0.3__noise00__game_5,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|WSLS,1.0,0,0.0,0.0,1.0,0.034482758620689655
Mistral-7B-Instruct-v0.3__noise00__game_8,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_8,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_10,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,0.0,1.0,0.896551724137931
Mistral-7B-Instruct-v0.3__noise00__game_10,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,0.1,TFT,1.0,1,0.6666666666666666,1.0,0.0,0.9310344827586207
Mistral-7B-Instruct-v0.3__noise00__game_9,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC,1.0,1,0.9666666666666667,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3__noise00__game_9,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|WSLS,1.0,0,0.0,0.0,1.0,0.0
Mistral-7B-Instruct-v0.3__noise00__game_11,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_11,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_12,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_12,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_13,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC,1.0,1,0.9666666666666667,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3__noise00__game_13,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|WSLS,1.0,0,0.0,0.0,1.0,0.0
Mistral-7B-Instruct-v0.3__noise00__game_15,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_15,agent2,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_14,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD,1.0,0,0.0,0.0,1.0,0.3448275862068966
Mistral-7B-Instruct-v0.3__noise00__game_14,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,0.6667,TFT,0.6128978729248047,1,0.95,0.47368421052631576,0.0,0.3448275862068966
Mistral-7B-Instruct-v0.3__noise00__game_16,agent1,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_16,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,1.0,AllC|TFT|WSLS,1.0,1,0.0,0.0,0.0,1.0
Mistral-7B-Instruct-v0.3__noise00__game_18,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD,1.0,0,0.0,0.0,1.0,0.3793103448275862
Mistral-7B-Instruct-v0.3__noise00__game_18,agent2,Mistral-7B-Instruct-v0.3,0,cooperative,0.6333,TFT,0.9803324937820435,1,0.9473684210526315,0.3157894736842105,0.0,0.3793103448275862
Mistral-7B-Instruct-v0.3__noise00__game_19,agent1,Mistral-7B-Instruct-v0.3,0,selfish,0.0,AllD|TFT,1.0,0,0.0,1.0,1.0,1.0
